name,birthday,nationality
Leonardo DiCaprio,1974-11-11,US
Emma Watson,1990-04-15,GB
Morgan Freeman,1937-06-01,US
Keanu Reeves,1964-09-02,CA
Scarlett Johansson,1984-11-22,US
Tom Hanks,1956-07-09,US
Nicole Kidman,1967-06-20,AU
Will Smith,1968-09-25,US
Daniel Craig,1968-03-02,GB
Sophie Turner,1996-02-21,GB
Robert Downey Jr.,1965-04-04,US
Hugh Jackman,1968-10-12,AU
Meryl Streep,1949-06-22,US
Julianne Moore,1960-12-03,US
Matt Damon,1970-10-08,US
Anne Hathaway,1982-11-12,US
Cate Blanchett,1969-05-14,AU
Johnny Depp,1963-06-09,US
Renee Zellweger,1969-04-25,US
G̩rard Depardieu,1948-12-27,FR
Marion Cotillard,1975-09-30,FR
Audrey Tautou,1976-08-09,FR
Sophia Loren,1934-09-20,IT
Monica Bellucci,1964-09-30,IT

